iter	Passed	Remaining
406	5225	7613
407	5237	7599
408	5251	7588
409	5266	7578
410	5278	7563
411	5292	7553
412	5299	7532
413	5312	7520
414	5325	7507
415	5338	7493
416	5350	7480
417	5365	7470
418	5372	7449
419	5382	7433
420	5395	7420
421	5404	7401
422	5417	7389
423	5435	7383
424	5459	7386
425	5471	7372
426	5507	7390
427	5539	7403
428	5554	7392
429	5566	7379
430	5577	7363
431	5590	7350
432	5599	7332
433	5617	7325
434	5638	7323
435	5656	7317
436	5675	7311
437	5686	7295
438	5696	7279
439	5721	7281
440	5726	7258
441	5738	7244
442	5747	7226
443	5768	7223
444	5785	7215
445	5802	7207
446	5812	7191
447	5827	7179
448	5846	7174
449	5859	7161
450	5878	7155
451	5893	7145
452	5901	7126
453	5908	7105
454	5917	7087
455	5928	7072
456	5940	7058
457	5953	7045
458	5974	7041
459	5989	7030
460	6004	7020
461	6018	7008
462	6028	6991
463	6043	6980
464	6055	6967
465	6066	6951
466	6075	6934
467	6094	6927
468	6108	6916
469	6121	6902
470	6134	6889
471	6148	6878
472	6155	6857
473	6161	6837
474	6171	6821
475	6183	6806
476	6198	6796
477	6215	6787
478	6227	6774
479	6234	6754
480	6248	6742
481	6257	6725
482	6271	6713
483	6279	6694
484	6289	6678
485	6306	6669
486	6321	6659
487	6331	6643
488	6342	6627
489	6355	6614
490	6368	6601
491	6378	6585
492	6385	6566
493	6399	6554
494	6412	6542
495	6427	6531
496	6442	6520
497	6449	6501
498	6463	6489
499	6478	6478
500	6491	6465
501	6514	6462
502	6528	6450
503	6542	6438
504	6553	6423
505	6565	6409
506	6579	6398
507	6593	6386
508	6604	6371
509	6616	6357
510	6634	6349
511	6644	6332
512	6659	6321
513	6677	6313
514	6690	6301
515	6699	6283
516	6709	6268
517	6713	6247
518	6724	6232
519	6735	6217
520	6753	6209
521	6771	6201
522	6781	6184
523	6797	6174
524	6819	6169
525	6833	6157
526	6847	6146
527	6858	6131
528	6877	6123
529	6886	6106
530	6900	6095
531	6914	6082
532	6924	6067
533	6941	6057
534	6949	6040
535	6965	6029
536	6977	6016
537	6996	6008
538	7011	5996
539	7029	5987
540	7046	5978
541	7070	5974
542	7084	5962
543	7100	5951
544	7113	5938
545	7128	5927
546	7146	5918
547	7155	5902
548	7171	5891
549	7193	5885
550	7208	5873
551	7223	5862
552	7232	5845
553	7245	5832
554	7262	5823
555	7273	5808
556	7286	5795
557	7300	5783
558	7320	5775
559	7332	5760
560	7347	5749
561	7354	5731
562	7367	5718
563	7377	5702
