iter	Logloss
0	0.6718265652
1	0.6489366789
2	0.6272422784
3	0.6054254348
4	0.5834898657
5	0.5663031352
6	0.5482037668
7	0.5306911749
8	0.5185583153
9	0.5024452104
10	0.4915302306
11	0.4792938217
12	0.464724822
13	0.4558574936
14	0.44632691
15	0.4354351403
16	0.4265321003
17	0.41700332
18	0.4078268668
19	0.3968821894
20	0.3890968204
21	0.3796620405
22	0.371827283
23	0.3639040251
24	0.3597852149
25	0.3556607437
26	0.3491860432
27	0.3453767941
28	0.3402991638
29	0.3348909295
30	0.3300870736
31	0.326721412
32	0.3238525643
33	0.3201759229
34	0.31629299
35	0.3132286258
36	0.3088539374
37	0.3067461223
38	0.3047773628
39	0.3016447149
40	0.2995646313
41	0.2957795471
42	0.2939058465
43	0.290949288
44	0.2884952599
45	0.2866201528
46	0.2851987049
47	0.2829793724
48	0.2809646659
49	0.279003259
50	0.2774821588
51	0.2758319923
52	0.274017601
53	0.272037287
54	0.2703284038
55	0.2684531264
56	0.2673371366
57	0.2656015237
58	0.2642698361
59	0.2627731448
60	0.2619107404
61	0.2610018179
62	0.2603001629
63	0.2590513346
64	0.2575895029
65	0.2567624783
66	0.2556473214
67	0.2548413379
68	0.2537797475
69	0.2529344259
70	0.2518541698
71	0.2509763896
72	0.249821796
73	0.2490441969
74	0.2483651131
75	0.2477606069
76	0.2467613832
77	0.2460517171
78	0.2452093256
79	0.2446358604
80	0.2441903829
81	0.243504576
82	0.2426337027
83	0.2421411831
84	0.241763383
85	0.2414642406
86	0.2409527772
87	0.2405142109
88	0.2399672423
89	0.2395517429
90	0.2389350698
91	0.2382992899
92	0.2379145988
93	0.2373471724
94	0.2368078281
95	0.2362623356
96	0.2354563359
97	0.2351364274
98	0.2345597288
99	0.234159496
100	0.2336547552
101	0.2333930671
102	0.2328345599
103	0.2322725382
104	0.2318675989
105	0.2316337659
106	0.2312756006
107	0.2310465174
108	0.2308712444
109	0.2303724093
110	0.2300952397
111	0.2298373227
112	0.2296065202
113	0.2294209121
114	0.2288441814
115	0.2285537702
116	0.2282695651
117	0.2278457478
118	0.2274665085
119	0.2272826919
120	0.2268554263
121	0.2263904605
122	0.2261733426
123	0.2257590847
124	0.2254346504
125	0.2251978773
126	0.225024798
127	0.224914263
128	0.2246273809
129	0.2242568413
130	0.2240345006
131	0.2238096333
132	0.2234454082
133	0.223154002
134	0.2227717545
135	0.2223688436
136	0.2221316368
137	0.2217612423
138	0.2213282927
139	0.2211666772
140	0.2209085663
141	0.2204984594
142	0.2200941364
143	0.2199309216
144	0.219653992
145	0.2192777953
146	0.2190719785
147	0.2186400269
148	0.2185624867
149	0.2183495044
150	0.2180793876
151	0.2178612139
152	0.217621584
153	0.2173495232
154	0.2170186069
155	0.2168008079
156	0.2166354163
157	0.2163518642
158	0.2161443052
159	0.2158252284
160	0.2156223883
161	0.2154134227
162	0.2151211367
163	0.2149407716
164	0.2147597482
165	0.2145927141
166	0.2144531063
167	0.214280515
168	0.2140000791
169	0.2138230389
170	0.2137000737
171	0.2134726938
172	0.2133670714
173	0.2130447354
174	0.2128501379
175	0.2126621032
176	0.2124519367
177	0.2122550682
178	0.2121691194
179	0.2119237651
180	0.2117150097
181	0.211652262
182	0.2114330731
183	0.2111639206
184	0.2109917903
185	0.2107920447
186	0.2106467915
187	0.2105034221
188	0.2103112526
189	0.2101379799
190	0.2099837737
